Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-36.05512
2006,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-32.16762
2007,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-28.78704
2008,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-22.79147
2009,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-23.34758
2010,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,16.45224
2011,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,49.88437
2012,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,63.6992
2013,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,68.68073
2014,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,75.26421
2015,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,38.34734
2016,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,26.23425
2017,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,15.49469
2018,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,11.77924
2019,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,7.61545
2020,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,7.6037
2021,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-11.8153
2022,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-12.881
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,45.99997
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,46.71012
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,57.52589
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,64.79908
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,63.02952
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,65.92879
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,69.9369
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,73.42237
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,79.60395
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,79.03059
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,120.06521
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,154.53459
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,168.77803
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,173.91411
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,180.70185
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,142.63962
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,130.15072
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,119.07796
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,115.24723
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,110.95426
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,110.94215
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,90.92066
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,89.8219
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00193
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00196
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00242
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00272
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00265
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00277
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00294
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00308
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00334
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00332
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00504
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00649
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00709
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.0073
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00759
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00599
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00546
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.005
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00484
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00466
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00466
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00382
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.00377
2005,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-18.52937
2006,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-22.05459
2007,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-13.05684
2008,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,-0.10497
2009,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,0.59963
2010,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,18.66731
2011,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,21.99727
2012,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,28.38321
2013,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,27.67505
2014,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,35.4486
2015,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,25.73736
2016,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,36.99846
2017,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,33.3487
2018,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,34.1429
2019,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,31.91807
2020,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,32.68054
2021,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,23.72995
2022,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAC,12,None,PT,2024-05-08T00:00:00,2017-2021,22.58413
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,503.89357
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,724.25442
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,884.50406
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,1021.0972
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,1196.37195
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,1362.97472
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,1303.99919
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,1454.52822
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,1671.20854
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,1682.99614
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,1985.26207
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2040.9711
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2147.80569
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2135.9583
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2266.00711
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2103.54145
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2291.93576
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2230.87646
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2244.16327
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2206.94263
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2219.69843
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2069.95819
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAN,12,None,KM2,2023-03-30T00:00:00,2017-2021,2050.78905
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.02116
2001,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.03041
2002,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.03714
2003,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.04287
2004,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.05023
2005,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.05723
2006,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.05475
2007,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.06107
2008,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.07017
2009,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.07066
2010,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.08335
2011,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.08569
2012,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.09018
2013,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.08968
2014,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.09514
2015,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.08832
2016,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.09623
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.09367
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.09422
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.09266
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.0932
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.08691
2022,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_SWAP,12,None,PT,2025-03-21T00:00:00,2017-2021,0.0861
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_EXTREME,PT,2023-03-08T00:00:00,2021,24.80767
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_EXTREME,PT,2023-03-08T00:00:00,2021,18.46894
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_EXTREME,PT,2023-03-08T00:00:00,2021,17.84838
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_EXTREME,PT,2023-03-08T00:00:00,2021,19.9361
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_EXTREME,PT,2023-03-08T00:00:00,2021,26.78297
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_HIGH,PT,2023-03-08T00:00:00,2021,12.99819
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_HIGH,PT,2023-03-08T00:00:00,2021,13.52593
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_HIGH,PT,2023-03-08T00:00:00,2021,15.06153
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_HIGH,PT,2023-03-08T00:00:00,2021,11.95262
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_HIGH,PT,2023-03-08T00:00:00,2021,16.29435
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_LOW,PT,2023-03-08T00:00:00,2021,47.59676
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_LOW,PT,2023-03-08T00:00:00,2021,52.87175
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_LOW,PT,2023-03-08T00:00:00,2021,52.12621
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,12,DL_LOW,PT,2023-03-08T00:00:00,2021,56.75181
