Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2010,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.9
2011,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.8
2012,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.7
2013,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.6
2014,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.5
2015,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.5
2016,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.5
2017,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.4
2018,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.4
2019,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.5
2020,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.6
2021,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.7
2022,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.8
2023,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.0
2024,SN_STA_OVWGT,231,None,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.5,2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.3
2000,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.6
2001,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.7
2002,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.8
2003,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.9
2004,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.9
2005,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.9
2006,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.9
2007,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.9
2008,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.8
2009,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.7
2010,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",2.7
